activity_id,name,type,gear_id,date,distance_miles,moving_time_min,elapsed_time_min,elevation_gain_ft,avg_pace,avg_pace_sec,max_pace,max_pace_sec,start_lat,start_lng
18267391127,First ride up Llano de La Perdiz,Ride,,2026-04-26T13:30:22Z,8.65,01:03:53,01:13:05,947.18,07:23,443.0,02:41,161.0,37.174221,-3.590142
17012752807,Geoparque Granada,Ride,,2026-01-11T11:44:22Z,13.1,01:39:43,02:30:25,1141.73,07:36,456.0,02:23,143.0,37.480222,-3.042033
16010285583,Afternoon Ride,Ride,,2025-09-30T12:40:21Z,17.12,01:21:55,01:21:55,153.54,,,,,42.862976,3.03008
15985520131,To Leucate for 🦪,Ride,,2025-09-30T10:03:46Z,16.92,01:24:42,01:24:42,167.32,,,,,42.70256,3.025571
15944587695,Canet Wineries,Ride,,2025-09-26T13:15:02Z,13.61,01:20:05,01:20:05,419.29,,,,,42.70048,3.023159
15160006315,Afternoon Ride,Ride,,2025-07-18T20:57:24Z,7.98,00:39:01,00:39:01,175.2,,,,,42.344511,-71.029139
15154733364,Morning Ride,Ride,,2025-07-18T12:31:24Z,7.3,00:32:50,00:32:50,140.75,,,,,42.410748,-71.113367
15110030889,Morning Ride,Ride,,2025-07-14T12:03:06Z,3.46,00:17:01,00:17:01,170.93,,,,,42.371561,-71.099458
15050701675,Afternoon Ride,Ride,,2025-07-08T20:57:52Z,8.01,00:38:51,00:38:51,172.57,,,,,42.344481,-71.029219
15044743247,Morning Ride,Ride,,2025-07-08T11:06:05Z,7.31,00:34:40,00:34:40,139.11,,,,,42.410661,-71.113398
14780879180,Afternoon Ride,Ride,,2025-06-12T20:31:02Z,8.03,00:40:22,00:40:22,176.84,,,,,42.344531,-71.029171
14775884659,Morning Ride,Ride,,2025-06-12T11:32:26Z,7.33,00:32:28,00:32:28,140.09,,,,,42.410847,-71.1133
14708161863,Afternoon Ride,Ride,,2025-06-05T19:46:55Z,8.0,00:35:55,00:35:55,173.56,,,,,42.344436,-71.02922
14703551001,Morning Ride,Ride,,2025-06-05T11:13:57Z,7.33,00:33:20,00:33:20,141.73,,,,,42.410853,-71.113332
14645289944,Afternoon Ride,Ride,,2025-05-30T20:47:49Z,8.0,00:39:01,00:39:01,172.57,,,,,42.344566,-71.02913
14640387607,Morning Ride,Ride,,2025-05-30T11:11:15Z,7.32,00:34:33,00:34:33,139.11,,,,,42.410809,-71.113354
14624352657,Afternoon Ride,Ride,,2025-05-28T18:44:30Z,8.0,00:38:53,00:38:53,173.88,,,,,42.344499,-71.029147
14619811693,Morning Ride,Ride,,2025-05-28T11:15:36Z,7.33,00:33:42,00:33:42,139.76,,,,,42.410863,-71.113362
14554874664,Afternoon Ride,Ride,,2025-05-21T20:30:17Z,8.0,00:37:24,00:37:24,172.9,,,,,42.344535,-71.029195
14549950488,Morning Ride,Ride,,2025-05-21T11:24:17Z,7.32,00:34:34,00:34:34,141.4,,,,,42.410867,-71.113357
14419802720,Afternoon Ride,Ride,,2025-05-08T20:19:12Z,8.01,00:37:09,00:37:09,177.17,,,,,42.344532,-71.029275
14414889479,Morning Ride,Ride,,2025-05-08T11:20:27Z,7.31,00:34:26,00:34:26,139.44,,,,,42.410851,-71.113365
14404859184,Dropping car off,Ride,,2025-05-07T12:34:30Z,3.66,00:19:00,00:19:00,174.54,,,,,42.371554,-71.099546
