#Sierra Nevada Half
Date,Target miles,Session,Target elevation,Shoes,Session notes,Course map name,Course map url,Alt course map name (snow risk),Alt course map url
2026-11-30,2.0,Easy trail run,65,Pegasus Trail 5,"Easy, conversational pace. Optional 5min walking warmup if legs feel stiff.",,,,
2026-12-01,-,Strength + mobility,-,—,,,,,
2026-12-02,2.4,Easy hill walk/jog,243,Hoka Mach 7,Recovery effort - no hard pushing on climbs; walk any steep sections.,,,,
2026-12-03,2.6,Moderate rolling terrain,136,Pegasus 42,Steady aerobic effort - a bit firmer than easy days.,,,,
2026-12-04,-,Rest,-,—,,,,,
2026-12-05,6,Long run,450,Pegasus Trail 5,10min easy warmup. Fuel/hydrate every 30-45min; practice race nutrition and pacing.,6-Mile Race-Course Route,https://www.strava.com/routes/3535661480546733202,,
2026-12-06,-,Optional flat 2-3mi,-,—,Optional recovery jog - skip if legs are tired. Very easy pace.,,,,
2026-12-07,2.8,Easy trail run,178,Pegasus Trail 5,"Easy, conversational pace. Optional 5min walking warmup if legs feel stiff.",,,,
2026-12-08,-,Strength + mobility,-,—,,,,,
2026-12-09,3.4,6x2min hill reps,652,Hoka Mach 7,"10min easy warmup before first rep. Hard effort on climbs, easy jog/hike down to recover. 10min easy cooldown.",,,,
2026-12-10,3.8,Moderate rolling terrain,356,Pegasus 42,Steady aerobic effort - a bit firmer than easy days.,,,,
2026-12-11,-,Rest,-,—,,,,,
2026-12-12,8,Long run,1400,Pegasus Trail 5,10min easy warmup. Fuel/hydrate every 30-45min; practice race nutrition and pacing.,8-Mile Race-Course Route Rev A,https://www.strava.com/routes/3535649325548051052,,
2026-12-13,-,Optional flat 2-3mi,-,—,Optional recovery jog - skip if legs are tired. Very easy pace.,,,,
2026-12-14,2.8,Easy trail run,267,Pegasus Trail 5,"Easy, conversational pace. Optional 5min walking warmup if legs feel stiff.",,,,
2026-12-15,-,Strength + mobility,-,—,,,,,
2026-12-16,3.4,6x2min hill reps,978,Hoka Mach 7,"10min easy warmup before first rep. Hard effort on climbs, easy jog/hike down to recover. 10min easy cooldown.",,,,
2026-12-17,3.8,Moderate rolling terrain,534,Pegasus 42,Steady aerobic effort - a bit firmer than easy days.,,,,
2026-12-18,-,Rest,-,—,,,,,
2026-12-19,9,Long run,1720,Pegasus Trail 5,10min easy warmup. Fuel/hydrate every 30-45min; practice race nutrition and pacing.,9-Mile High Mountain Route,https://www.strava.com/routes/3535646059575338130,,
2026-12-20,-,Optional flat 2-3mi,-,—,Optional recovery jog - skip if legs are tired. Very easy pace.,,,,
