type,date,distance_miles,moving_time_min,elapsed_time_min,elevation_gain_ft,avg_pace,max_pace
Run,2026-04-29T15:33:45Z,3.0,00:32:08,00:32:08,64.63,10:41,04:35
Hike,2026-04-30T09:53:07Z,7.02,02:44:45,02:44:45,1889.76,,
Hike,2026-05-03T08:33:43Z,4.31,01:43:47,02:06:06,725.72,24:04,09:30
Run,2026-05-04T17:05:48Z,3.62,00:37:21,00:40:09,62.34,10:19,04:07
Run,2026-05-06T15:01:27Z,4.24,00:49:25,00:50:26,519.69,11:39,05:28
Run,2026-05-08T10:21:40Z,6.21,01:13:58,01:18:07,665.03,11:54,05:56
Hike,2026-05-09T09:22:51Z,7.65,02:45:39,03:15:06,1075.46,21:39,03:38
Hike,2026-05-10T09:27:44Z,11.44,03:48:19,04:06:27,2436.68,19:57,09:37
Run,2026-05-12T15:58:19Z,4.51,00:57:58,01:01:08,731.96,12:51,06:46
Run,2026-05-14T10:49:27Z,3.76,00:38:58,00:39:21,65.62,10:21,05:48
Hike,2026-05-18T09:07:08Z,7.3,03:00:50,03:39:46,1082.02,24:46,08:44
Run,2026-05-19T06:00:50Z,3.01,00:38:02,00:47:06,435.37,12:38,07:07
Run,2026-05-23T18:10:21Z,3.67,00:41:11,00:42:32,435.7,11:13,06:35
Hike,2026-05-25T07:14:24Z,9.68,03:48:27,05:33:57,2449.15,23:36,09:11
Hike,2026-05-26T12:32:09Z,2.76,01:04:50,01:26:09,556.76,23:31,10:28
Hike,2026-05-27T08:54:25Z,3.21,01:07:52,01:25:41,283.14,21:10,10:05
Hike,2026-05-28T05:46:47Z,15.46,05:10:57,06:41:06,4746.72,20:06,03:39
Hike,2026-06-01T09:12:22Z,4.13,01:40:21,02:39:18,929.46,24:19,07:37
Run,2026-06-02T15:03:34Z,3.0,00:29:53,00:29:53,10.5,09:57,04:54
Run,2026-06-05T06:20:56Z,3.52,00:34:33,00:38:20,53.15,09:48,05:57
Run,2026-06-07T05:53:27Z,3.67,00:41:51,00:41:51,436.35,11:24,05:49
Hike,2026-06-07T07:48:47Z,7.13,02:19:41,02:46:24,1017.39,19:35,06:58
Run,2026-06-10T06:04:28Z,3.61,00:39:24,00:40:03,431.43,10:54,05:31
Swim,2026-06-12T13:40:13Z,0.91,00:46:40,00:46:40,0.0,51:17,07:01
Hike,2026-06-13T09:44:48Z,4.13,01:21:48,01:45:43,180.45,19:49,08:04
Run,2026-06-13T16:25:09Z,1.06,00:12:00,00:12:19,141.73,11:18,07:24
Run,2026-06-14T16:01:29Z,6.91,01:17:01,01:17:01,649.28,11:09,06:21
Run,2026-06-16T05:27:09Z,3.67,00:39:33,00:39:54,435.7,10:46,05:59
Hike,2026-06-17T09:19:02Z,9.6,03:43:43,04:04:43,2914.04,23:18,06:54
Swim,2026-06-19T13:43:59Z,1.03,00:44:45,00:44:45,0.0,43:36,07:30
Run,2026-06-20T05:34:37Z,7.0,01:16:06,01:21:45,616.8,10:51,06:11
Hike,2026-06-21T09:35:53Z,10.53,04:35:50,05:38:27,2508.53,26:11,06:23
Run,2026-06-24T05:32:17Z,3.66,00:39:18,00:40:19,435.7,10:43,05:49
Run,2026-06-27T05:42:27Z,8.68,01:35:58,01:37:32,884.19,11:03,06:09
Hike,2026-06-28T09:28:03Z,3.83,01:38:02,01:54:47,636.81,25:35,07:33
Run,2026-06-29T18:01:39Z,3.34,00:29:38,00:34:05,51.18,08:52,06:16
Swim,2026-06-30T10:41:17Z,1.03,00:46:59,00:46:59,0.0,45:51,10:43
Run,2026-07-01T18:57:22Z,3.66,00:39:51,00:40:16,435.04,10:52,05:50
Hike,2026-07-02T10:28:01Z,3.23,01:06:22,01:16:01,276.25,20:31,09:38
Run,2026-07-03T05:13:48Z,7.75,01:27:50,01:29:25,1054.79,11:19,06:12
Hike,2026-07-05T09:15:45Z,7.35,02:52:27,03:09:59,1610.24,23:27,10:06
Run,2026-07-06T19:02:55Z,3.78,00:36:32,00:36:35,39.7,09:39,05:02
Run,2026-07-08T06:33:06Z,4.0,00:42:15,00:50:18,231.63,10:33,06:31
Hike,2026-07-12T09:04:15Z,5.14,02:05:09,02:44:53,1587.27,24:21,07:02
Hike,2026-07-13T07:57:03Z,6.56,02:27:23,02:50:00,1073.49,22:26,09:15
Hike,2026-07-14T08:45:18Z,10.98,04:35:20,05:05:49,3275.59,25:05,08:32
Run,2026-07-17T04:53:52Z,7.34,01:23:49,01:25:02,1008.86,11:24,06:25
Hike,2026-07-19T09:19:22Z,7.8,03:18:33,03:56:14,1082.02,25:28,07:50
Run,2026-07-21T05:23:50Z,4.07,00:44:42,00:48:23,327.43,10:59,05:42
