activity_id,name,type,gear_id,date,distance_miles,moving_time_min,elapsed_time_min,elevation_gain_ft,avg_pace,avg_pace_sec,max_pace,max_pace_sec
19864229281,Lunch Hike,Hike,,2026-08-23T09:03:52Z,7.34,02:44:19,03:20:52,1095.8,22:22,1342,09:02,542
19668078752,Meander and dip,Hike,,2026-08-09T09:59:48Z,3.09,01:12:02,01:46:48,390.42,23:16,1396.0,04:34,274.0
19571191507,Piedra Resbaladiza,Hike,,2026-08-02T08:49:36Z,10.1,04:18:54,05:50:50,2477.03,25:37,1537.0,02:57,177.0
19377436334,Rio Dilar,Hike,,2026-07-19T09:19:22Z,7.8,03:18:33,03:56:14,1082.02,25:28,1528.0,07:50,470.0
19309649607,Morning Hike,Hike,,2026-07-14T08:45:18Z,10.98,04:35:20,05:05:49,3275.59,25:05,1505.0,08:32,512.0
19292675607,Morning Hike,Hike,,2026-07-13T07:57:03Z,6.56,02:27:23,02:50:00,1073.49,22:26,1346.0,09:15,555.0
19280993955,Lunch Hike,Hike,,2026-07-12T09:04:15Z,5.14,02:05:09,02:44:53,1587.27,24:21,1461.0,07:02,422.0
19188765806,Lunch Hike,Hike,,2026-07-05T09:15:45Z,7.35,02:52:27,03:09:59,1610.24,23:27,1407.0,10:06,606.0
19150962634,Hike and swim,Hike,,2026-07-02T10:28:01Z,3.23,01:06:22,01:16:01,276.25,20:31,1231.0,09:38,578.0
19097136450,Shorter one,Hike,,2026-06-28T09:28:03Z,3.83,01:38:02,01:54:47,636.81,25:35,1535.0,07:33,453.0
19012982388,Escaping the city heat,Hike,,2026-06-21T09:35:53Z,10.53,04:35:50,05:38:27,2508.53,26:11,1571.0,06:23,383.0
18957793682,Hoya de la Mora <-> Veleta,Hike,,2026-06-17T09:19:02Z,9.6,03:43:43,04:04:43,2914.04,23:18,1398.0,06:54,414.0
18902061991,Forgot to record the up,Hike,,2026-06-13T09:44:48Z,4.13,01:21:48,01:45:43,180.45,19:49,1189.0,08:04,484.0
18821577865,Morning Hike,Hike,,2026-06-07T07:48:47Z,7.13,02:19:41,02:46:24,1017.39,19:35,1175.0,06:58,418.0
18741083856,Lunch Hike,Hike,,2026-06-01T09:12:22Z,4.13,01:40:21,02:39:18,929.46,24:19,1459.0,07:37,457.0
18690772312,Ruta del Cares ida y vuelta,Hike,,2026-05-28T05:46:47Z,15.46,05:10:57,06:41:06,4746.72,20:06,1206.0,03:39,219.0
18674672678,Ermita de San Martín,Hike,,2026-05-27T08:54:25Z,3.21,01:07:52,01:25:41,283.14,21:10,1270.0,10:05,605.0
18665811881,Lagos de Covadonga,Hike,,2026-05-26T12:32:09Z,2.76,01:04:50,01:26:09,556.76,23:31,1411.0,10:28,628.0
18648008646,Pico Gilbo,Hike,,2026-05-25T07:14:24Z,9.68,03:48:27,05:33:57,2449.15,23:36,1416.0,09:11,551.0
18554547121,Lunch Hike,Hike,,2026-05-18T09:07:08Z,7.3,03:00:50,03:39:46,1082.02,24:46,1486.0,08:44,524.0
18454020645,Lunch Hike,Hike,,2026-05-10T09:27:44Z,11.44,03:48:19,04:06:27,2436.68,19:57,1197.0,09:37,577.0
18438073970,Lunch Hike,Hike,,2026-05-09T09:22:51Z,7.65,02:45:39,03:15:06,1075.46,21:39,1299.0,03:38,218.0
18357401118,Morning Hike,Hike,,2026-05-03T08:33:43Z,4.31,01:43:47,02:06:06,725.72,24:04,1444.0,09:30,570.0
18318986765,Promised Brisket a last snow sesh,Hike,,2026-04-30T09:53:07Z,7.02,02:44:45,03:18:23,1889.76,23:29,1409.0,10:20,620.0
18291301599,Hot pups = lots of stops,Hike,,2026-04-28T09:22:38Z,5.11,02:04:43,02:50:10,991.47,24:24,1464.0,10:01,601.0
18265678530,Short walk around Pinos Genil,Hike,,2026-04-26T09:13:08Z,2.66,00:59:30,01:05:22,174.21,22:22,1342.0,10:05,605.0
18172269354,Le retour,Hike,,2026-04-19T12:44:56Z,1.3,00:33:20,00:33:20,21.98,25:35,1535.0,10:33,633.0
18170054450,Unintended post half hike,Hike,,2026-04-19T10:09:55Z,1.42,00:44:26,00:45:28,1249.34,31:20,1880.0,10:05,605.0
17887855156,Sick but the dogs needed it,Hike,,2026-03-28T09:32:06Z,6.72,02:40:31,03:06:56,1003.28,23:53,1433.0,09:50,590.0
17816540607,Morning Hike,Hike,,2026-03-22T09:59:24Z,8.43,03:15:47,03:49:40,1481.63,23:13,1393.0,09:45,585.0
17802920953,Morning Hike,Hike,,2026-03-21T09:49:24Z,6.11,02:36:13,02:51:57,1028.22,25:34,1534.0,09:30,570.0
17753655448,Lunch Hike,Hike,,2026-03-17T10:46:50Z,4.44,01:45:52,02:09:02,708.66,23:51,1431.0,08:26,506.0
17730498678,Solo perro parenting,Hike,,2026-03-15T09:24:06Z,8.23,02:43:29,02:57:55,1068.57,19:51,1191.0,07:50,470.0
17636558139,Muddy out there today,Hike,,2026-03-07T09:19:40Z,7.39,02:57:40,03:27:36,1157.81,24:02,1442.0,05:57,357.0
17427013872,Meander with the Smiths,Hike,,2026-02-17T09:33:18Z,4.81,02:09:51,03:19:39,639.11,26:59,1619.0,08:49,529.0
17327834940,Morning Hike,Hike,,2026-02-08T09:28:17Z,6.39,02:26:41,02:43:17,1018.7,22:56,1376.0,09:50,590.0
17251638463,SL-A 282 Nacimiento Río Ítrabo - Picacho Bodíjaras,Hike,,2026-02-01T10:38:49Z,8.52,03:00:32,03:29:04,2250.0,21:11,1271.0,04:47,287.0
17237827660,Finally a break in the rain!,Hike,,2026-01-31T10:04:51Z,7.18,02:40:06,02:56:06,1061.68,22:18,1338.0,09:52,592.0
17160332153,Snow in Granada!,Hike,,2026-01-24T10:48:34Z,4.56,01:42:00,02:05:53,786.42,22:21,1341.0,09:24,564.0
17094565756,Afternoon Hike,Hike,,2026-01-18T12:32:39Z,6.86,02:33:48,02:55:32,1086.94,22:25,1345.0,09:03,543.0
17000425201,Lunch Hike,Hike,,2026-01-10T10:28:09Z,7.13,02:34:44,02:57:26,1116.47,21:43,1303.0,06:30,390.0
16970226021,Had a great time until the dogs dissapeared,Hike,,2026-01-07T11:59:18Z,4.94,01:53:12,02:44:46,1604.66,22:53,1373.0,06:10,370.0
16912731500,PR-A 21 Canal de la Espartera,Hike,,2026-01-02T10:11:47Z,8.68,02:55:59,03:08:27,1837.93,20:16,1216.0,06:23,383.0
16894059692,Back home,Hike,,2025-12-31T09:53:37Z,8.03,02:55:41,03:28:53,1351.05,21:52,1312.0,08:26,506.0
16875261523,Bad Homburg,Hike,,2025-12-29T10:56:02Z,11.62,03:45:50,05:02:36,1321.52,19:26,1166.0,08:29,509.0
16836341228,Pre flight hike,Hike,,2025-12-25T09:43:00Z,6.43,02:14:52,02:24:35,1031.5,20:59,1259.0,08:34,514.0
16741411412,Afternoon Hike,Hike,,2025-12-14T12:26:00Z,4.1,01:37:50,02:16:48,684.06,23:53,1433.0,08:10,490.0
16732966034,More miles for Brisket,Hike,,2025-12-13T15:20:52Z,4.63,01:37:06,01:41:53,701.12,20:59,1259.0,09:43,583.0
16730054047,Cut it short because Face isn’t well,Hike,,2025-12-13T10:25:06Z,3.49,01:23:10,01:40:34,589.9,23:51,1431.0,09:07,547.0
16676181712,Lunch Hike,Hike,,2025-12-07T11:10:27Z,6.39,02:31:45,03:08:28,1131.23,23:45,1425.0,09:25,565.0
16665255470,Morning Hike,Hike,,2025-12-06T08:56:08Z,8.39,03:02:05,03:27:38,1428.81,21:42,1302.0,09:00,540.0
16609441381,Cold & Drizzly,Hike,,2025-11-30T09:48:37Z,5.32,02:02:25,02:26:51,843.5,23:00,1380.0,08:29,509.0
16600249380,Morning Hike,Hike,,2025-11-29T09:13:56Z,9.35,03:31:02,04:10:35,1463.58,22:34,1354.0,09:40,580.0
16544157375,Güéjar Sierra - Vereda de la Estrella,Hike,,2025-11-23T10:17:17Z,9.15,02:35:16,03:07:51,1312.99,16:57,1017.0,04:23,263.0
16533008830,Lunch Hike,Hike,,2025-11-22T10:36:15Z,5.26,01:57:50,02:06:36,1033.14,22:24,1344.0,08:16,496.0
16475030208,Morning Hike,Hike,,2025-11-16T09:40:30Z,6.3,02:31:06,02:54:10,1141.4,23:59,1439.0,09:43,583.0
16463911691,Love that this is basically our backyard,Hike,,2025-11-15T08:44:43Z,6.98,02:39:10,02:58:05,1063.65,22:48,1368.0,09:29,569.0
16405502449,First foray into the Sierra Nevadas,Hike,,2025-11-09T11:54:09Z,4.56,01:33:03,01:45:43,727.03,20:24,1224.0,10:48,648.0
15952259359,Lunch Hike,Hike,,2025-09-27T10:15:30Z,4.26,01:37:47,01:37:47,865.81,,,,
15253943518,Morning Hike,Hike,,2025-07-27T12:13:09Z,5.33,01:59:27,01:59:27,380.58,,,,
15101654018,Morning Hike,Hike,,2025-07-13T13:24:15Z,2.63,01:03:58,01:03:58,232.61,,,,
15025843466,Morning Hike,Hike,,2025-07-06T12:51:41Z,2.6,01:00:04,01:00:04,169.95,,,,
15004659829,Morning Hike,Hike,,2025-07-04T12:40:34Z,2.61,01:02:05,01:02:05,198.49,,,,
14723466895,Morning Hike,Hike,,2025-06-07T11:46:16Z,2.89,01:09:24,01:09:24,280.84,,,,
14662688460,Morning Hike,Hike,,2025-06-01T12:22:54Z,2.46,00:56:26,00:56:26,214.57,,,,
